A0A0B4LG21_DROME	A0A0B4LG21	FBgn0000008	arc	CG6741
Q9W283_DROME	Q9W283	FBgn0000008	arc	CG6741
ABDA_DROME	P29555	FBgn0000014	abdominal A	CG10325
ABDA_DROME-2	P29555-2	FBgn0000014	abdominal A	CG10325
E1JIM9_DROME	E1JIM9	FBgn0000014	abdominal A	CG10325
A0A0B4KGT1_DROME	A0A0B4KGT1	FBgn0000015	Abdominal B	CG11648
A0A126GUV9_DROME	A0A126GUV9	FBgn0000015	Abdominal B	CG11648
A4V304_DROME	A4V304	FBgn0000015	Abdominal B	CG11648
ABDB_DROME	P09087	FBgn0000015	Abdominal B	CG11648
ABDB_DROME-2	P09087-2	FBgn0000015	Abdominal B	CG11648
Q86P38_DROME	Q86P38	FBgn0000015	Abdominal B	CG11648
Q9VEQ7_DROME	Q9VEQ7	FBgn0000015	Abdominal B	CG11648
V9H1H6_DROME	V9H1H6	FBgn0000015	Abdominal B	CG11648
A8JNU2_DROME	A8JNU2	FBgn0000017	Abl tyrosine kinase	CG4032
ABL_DROME	P00522	FBgn0000017	Abl tyrosine kinase	CG4032
M9PCT8_DROME	M9PCT8	FBgn0000017	Abl tyrosine kinase	CG4032
M9PCU1_DROME	M9PCU1	FBgn0000017	Abl tyrosine kinase	CG4032
M9PFI5_DROME	M9PFI5	FBgn0000017	Abl tyrosine kinase	CG4032
M9PFI8_DROME	M9PFI8	FBgn0000017	Abl tyrosine kinase	CG4032
M9PFS1_DROME	M9PFS1	FBgn0000017	Abl tyrosine kinase	CG4032
M9PFX0_DROME	M9PFX0	FBgn0000017	Abl tyrosine kinase	CG4032
M9PI83_DROME	M9PI83	FBgn0000017	Abl tyrosine kinase	CG4032
Q8MR99_DROME	Q8MR99	FBgn0000018	abnormal oocyte	CG6093
Q95W10_DROME	Q95W10	FBgn0000018	abnormal oocyte	CG6093
Q9VKM4_DROME	Q9VKM4	FBgn0000018	abnormal oocyte	CG6093
AST5_DROME	P10083	FBgn0000022	achaete	CG3796
A0A0B4KGI5_DROME	A0A0B4KGI5	FBgn0000024	Acetylcholine esterase	CG17907
ACES_DROME	P07140	FBgn0000024	Acetylcholine esterase	CG17907
E1JIJ8_DROME	E1JIJ8	FBgn0000024	Acetylcholine esterase	CG17907
Q8T0K7_DROME	Q8T0K7	FBgn0000024	Acetylcholine esterase	CG17907
B7Z0Y6_DROME	B7Z0Y6	FBgn0000028	abnormal chemosensory jump 6	CG9151
FBpp0099732	""	FBgn0000028	abnormal chemosensory jump 6	CG9151
FBpp0099734	""	FBgn0000028	abnormal chemosensory jump 6	CG9151
FBpp0288502	""	FBgn0000028	abnormal chemosensory jump 6	CG9151
